TEAM,win%,Team,off_eff,Team,def_eff,net_eff,Team,ts%,Team,opp_ts%,net_ts%,Team,eff_fg%,Team,opp_eff_fg%,net_eff_fg%,Team,3_pt%,Team,3_rate,Team,pace,Team,rebr,Team,off_rebr,Team,def_rebr,Team,to_rate,Team,2_pt%
New Orleans,0.222,New Orleans,1.046,New Orleans,1.113,-0.06700,New Orleans,1.10700,New Orleans,1.17100,-0.06400,New Orleans,0.52900,New Orleans,0.55100,-0.02200,New Orleans,0.36600,New Orleans,0.42400,New Orleans,107.80000,New Orleans,0.49100,New Orleans,0.22000,New Orleans,0.77500,New Orleans,16,New Orleans,0.514
New York,0.222,New York,1.000,New York,1.098,-0.09800,New York,1.02100,New York,1.14700,-0.12600,New York,0.48400,New York,0.54400,-0.06000,New York,0.34400,New York,0.34700,New York,101.20000,New York,0.50600,New York,0.25400,New York,0.76300,New York,14.6,New York,0.467
Okla City,0.462,Okla City,1.050,Okla City,1.047,0.00300,Okla City,1.13100,Okla City,1.08600,0.04500,Okla City,0.52700,Okla City,0.51300,0.01400,Okla City,0.35300,Okla City,0.35500,Okla City,102.40000,Okla City,0.48800,Okla City,0.18400,Okla City,0.77500,Okla City,14.7,Okla City,0.526
Orlando,0.462,Orlando,1.029,Orlando,1.037,-0.00800,Orlando,1.05600,Orlando,1.09700,-0.04100,Orlando,0.49300,Orlando,0.52500,-0.03200,Orlando,0.34000,Orlando,0.35100,Orlando,100.60000,Orlando,0.50500,Orlando,0.22900,Orlando,0.78900,Orlando,13.5,Orlando,0.484
Philadelphia,0.714,Philadelphia,1.058,Philadelphia,1.007,0.05100,Philadelphia,1.12800,Philadelphia,1.08000,0.04800,Philadelphia,0.53700,Philadelphia,0.50800,0.02900,Philadelphia,0.36500,Philadelphia,0.33900,Philadelphia,103.40000,Philadelphia,0.53100,Philadelphia,0.23000,Philadelphia,0.81800,Philadelphia,16.1,Philadelphia,0.532
Phoenix,0.423,Phoenix,1.074,Phoenix,1.063,0.01100,Phoenix,1.13000,Phoenix,1.14100,-0.01100,Phoenix,0.52900,Phoenix,0.53500,-0.00600,Phoenix,0.35600,Phoenix,0.39600,Phoenix,107.40000,Phoenix,0.48100,Phoenix,0.20000,Phoenix,0.78300,Phoenix,14.1,Phoenix,0.525
Portland,0.407,Portland,1.062,Portland,1.080,-0.01800,Portland,1.10600,Portland,1.09400,0.01200,Portland,0.51800,Portland,0.50800,0.01000,Portland,0.36400,Portland,0.36800,Portland,105.70000,Portland,0.48300,Portland,0.21600,Portland,0.75700,Portland,13.6,Portland,0.502
Sacramento,0.462,Sacramento,1.040,Sacramento,1.060,-0.02000,Sacramento,1.10500,Sacramento,1.13400,-0.02900,Sacramento,0.52500,Sacramento,0.53700,-0.01200,Sacramento,0.35900,Sacramento,0.40100,Sacramento,100.90000,Sacramento,0.48800,Sacramento,0.22600,Sacramento,0.77700,Sacramento,15.8,Sacramento,0.516
San Antonio,0.385,San Antonio,1.053,San Antonio,1.087,-0.03400,San Antonio,1.09100,San Antonio,1.12200,-0.03100,San Antonio,0.51200,San Antonio,0.53100,-0.01900,San Antonio,0.34900,San Antonio,0.28600,San Antonio,106.20000,San Antonio,0.49900,San Antonio,0.21700,San Antonio,0.78900,San Antonio,13.8,San Antonio,0.507
Toronto,0.692,Toronto,1.061,Toronto,1.004,0.05700,Toronto,1.12600,Toronto,1.03700,0.08900,Toronto,0.52800,Toronto,0.48700,0.04100,Toronto,0.37800,Toronto,0.40800,Toronto,105.20000,Toronto,0.48900,Toronto,0.21200,Toronto,0.74300,Toronto,15.1,Toronto,0.502
Utah,0.577,Utah,1.036,Utah,1.031,0.00500,Utah,1.12700,Utah,1.06700,0.06000,Utah,0.52900,Utah,0.50300,0.02600,Utah,0.38500,Utah,0.37900,Utah,103.30000,Utah,0.50400,Utah,0.19300,Utah,0.79700,Utah,16.3,Utah,0.5
Washington,0.320,Washington,1.098,Washington,1.137,-0.03900,Washington,1.14600,Washington,1.20000,-0.05400,Washington,0.54300,Washington,0.56800,-0.02500,Washington,0.37600,Washington,0.37200,Washington,107.50000,Washington,0.46600,Washington,0.21700,Washington,0.75000,Washington,14.3,Washington,0.53
